source,title,content,publish_time,url,symbol_or_subject
深交所/上市公司公告,天奇股份：关于公司为控股子公司银行贷款展期提供担保的进展公告,天奇股份：关于公司为控股子公司银行贷款展期提供担保的进展公告；证券代码：002009；证券简称：天奇股份；公告类别：交易,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/298ddcb3-19f6-4ee5-8fac-aed0d1ea4a92.PDF,002009
深交所/上市公司公告,蓝黛科技：关于担保事项的进展公告,蓝黛科技：关于担保事项的进展公告；证券代码：002765；证券简称：蓝黛科技；公告类别：交易,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/db938adb-9835-4aba-9f1f-d3e980f6da3b.PDF,002765
深交所/上市公司公告,国药一致：关于举办2025年度业绩说明会的公告,国药一致：关于举办2025年度业绩说明会的公告；证券代码：000028；证券简称：国药一致；公告类别：其它重大事项,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/191ebc72-bb35-4a97-a23a-f4d88ffffba4.PDF,000028
深交所/上市公司公告,震裕科技：关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券的审核问询函的回复报告,震裕科技：关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券的审核问询函的回复报告；证券代码：300953；证券简称：震裕科技；公告类别：可转换债券,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/e34c8aa1-8d1e-4632-80a7-df913a804d2d.PDF,300953
深交所/上市公司公告,震裕科技：向不特定对象发行可转换公司债券募集说明书（修订稿）,震裕科技：向不特定对象发行可转换公司债券募集说明书（修订稿）；证券代码：300953；证券简称：震裕科技；公告类别：可转换债券,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/db97ca87-4849-4037-99a2-035c2fe9cb15.PDF,300953
深交所/上市公司公告,震裕科技：关于公司向不特定对象发行可转换公司债券的审核问询函回复及募集说明书等申请文件更新的提示性公告,震裕科技：关于公司向不特定对象发行可转换公司债券的审核问询函回复及募集说明书等申请文件更新的提示性公告；证券代码：300953；证券简称：震裕科技；公告类别：可转换债券,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/42c52c2a-b5c1-4d22-83ef-e3349e11d42f.PDF,300953
深交所/上市公司公告,震裕科技：中汇会计师事务所(特殊普通合伙)关于深圳证券交易所《关于宁波震裕科技股份有限公司申请向不特定对象发行可转换公司债券的审核问询函》有关财务问题回复的专项说明,震裕科技：中汇会计师事务所(特殊普通合伙)关于深圳证券交易所《关于宁波震裕科技股份有限公司申请向不特定对象发行可转换公司债券的审核问询函》有关财务问题回复的专项说明；证券代码：300953；证券简称：震裕科技；公告类别：可转换债券,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/c0e7c3ec-b683-491d-966e-232620906e08.PDF,300953
深交所/上市公司公告,震裕科技：浙江天册律师事务所关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券的补充法律意见书（一）,震裕科技：浙江天册律师事务所关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券的补充法律意见书（一）；证券代码：300953；证券简称：震裕科技；公告类别：中介机构报告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/5d3cd134-e4c0-46f6-b432-b152ab326144.PDF,300953
深交所/上市公司公告,震裕科技：广发证券股份有限公司关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书,震裕科技：广发证券股份有限公司关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券之上市保荐书；证券代码：300953；证券简称：震裕科技；公告类别：中介机构报告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/ff5fa747-7b48-43e3-a4e6-c0b0f4d96782.PDF,300953
深交所/上市公司公告,震裕科技：广发证券股份有限公司关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券之发行保荐书,震裕科技：广发证券股份有限公司关于宁波震裕科技股份有限公司向不特定对象发行可转换公司债券之发行保荐书；证券代码：300953；证券简称：震裕科技；公告类别：中介机构报告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/98b587e6-b401-43d1-a338-ad71cb5f677b.PDF,300953
深交所/上市公司公告,新乳业：关于向香港联交所递交H股发行上市申请并刊发申请资料的公告,新乳业：关于向香港联交所递交H股发行上市申请并刊发申请资料的公告；证券代码：002946；证券简称：新乳业；公告类别：其它重大事项,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/d990def3-c9fe-4bba-a19b-d1361b962780.PDF,002946
深交所/上市公司公告,正元智慧：2026年第一季度可转换公司债券转股情况公告,正元智慧：2026年第一季度可转换公司债券转股情况公告；证券代码：300645；证券简称：正元智慧；公告类别：可转换债券,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/84ebbb0b-ac45-4532-bc90-7e73cb668392.PDF,300645
深交所/上市公司公告,*ST金刚：2025年年度报告摘要,*ST金刚：2025年年度报告摘要；证券代码：300093；证券简称：*ST金刚；公告类别：年度报告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/de89a383-4422-4bd9-b5f8-74a207ec71cd.PDF,300093
深交所/上市公司公告,*ST金刚：2026年度向特定对象发行A股股票预案,*ST金刚：2026年度向特定对象发行A股股票预案；证券代码：300093；证券简称：*ST金刚；公告类别：增发,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/707d7130-ad11-4591-945a-c5cfdad791a0.PDF,300093
深交所/上市公司公告,*ST金刚：关于2025年度拟不进行利润分配的专项说明公告,*ST金刚：关于2025年度拟不进行利润分配的专项说明公告；证券代码：300093；证券简称：*ST金刚；公告类别：权益分派与限制出售股份上市,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/0004ee93-bcfe-476d-92c0-163942924c22.PDF,300093
深交所/上市公司公告,*ST金刚：2025年年度报告,*ST金刚：2025年年度报告；证券代码：300093；证券简称：*ST金刚；公告类别：年度报告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/5c5603d9-bc64-4b6d-85a2-0589ec8bc2ec.PDF,300093
深交所/上市公司公告,*ST金刚：关于召开2025年度股东会的通知,*ST金刚：关于召开2025年度股东会的通知；证券代码：300093；证券简称：*ST金刚；公告类别：股东会,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/e656f669-ab21-477e-8df7-347d8ac6ab64.PDF,300093
深交所/上市公司公告,*ST金刚：第八届董事会第二次会议决议公告,*ST金刚：第八届董事会第二次会议决议公告；证券代码：300093；证券简称：*ST金刚；公告类别：董事会公告,2026-04-03,https://disc.static.szse.cn/download/disc/disk03/finalpage/2026-04-03/2a272610-ead2-47eb-bc42-a019844d67df.PDF,300093
