source,title,publish_time,url,symbol_or_subject,dedup_key,duplicate_group_size,is_event,filter_reason,evidence,score_hint,event_score,event_threshold,rule_version
第一财经,印巴在克什米尔爆发大规模空战 巴基斯坦称使用中国制造战机击落印军战机,2025-05-07 10:00:00,https://example.com/news/air-combat,印巴空战,a5baf15dea73,2,true,event_signal_detected,"命中事件关键词: 产业链|克什米尔|印巴|战机|空战; score=7; threshold=2; rule_version=task1_rules_v1; dimensions=subject:空战,印巴,克什米尔,战机|industry:军工,战机,导弹,无人机,空战|predictability:空战,爆发,击落|duration:空战,击落",7,7,2,task1_rules_v1
财新网,克什米尔空战引发市场关注 军工产业链被重新定价,2025-05-07 13:20:00,https://example.com/news/kashmir-defense,印巴冲突,5ff652c905d4,1,true,event_signal_detected,"命中事件关键词: 产业链|克什米尔|冲突|空战; score=5; threshold=2; rule_version=task1_rules_v1; dimensions=subject:空战,冲突,克什米尔|industry:军工,导弹,无人机,空战|predictability:空战,冲突,突发,升级|duration:空战,冲突,突发",5,5,2,task1_rules_v1
中国政府网,国家发改委发布新型储能产业支持政策,2025-03-18 09:00:00,https://example.com/policy/storage-policy,储能政策,1ea00d32961e,1,true,event_signal_detected,"命中事件关键词: 产业链|发改委|措施|支持|政策; score=6; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策,发改委,支持,措施|industry:新能源,储能|predictability:政策,发布|duration:政策,示范项目,发布",6,6,2,task1_rules_v1
巨潮资讯网,中航成飞关于签订重大军品合同的公告,2025-02-11 20:30:00,https://example.com/notice/contract,302132.SZ,83ac37fc0a66,1,true,event_signal_detected,"命中事件关键词: 公告|合同; score=3; threshold=2; rule_version=task1_rules_v1; dimensions=subject:公告,合同|industry:军品|predictability:公告,签订|duration:合同",3,3,2,task1_rules_v1
东方财富网,某明星官宣参加综艺节目,2025-01-10 18:00:00,https://example.com/entertainment/show,无,cd969e61dc7d,1,false,non_financial_noise,命中非金融关键词: 明星|综艺|娱乐; score=0; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策|industry:none|predictability:政策|duration:政策,0,0,2,task1_rules_v1
36氪,机器人公司发布新一代人形机器人样机,2025-04-02 11:15:00,https://example.com/industry/humanoid,机器人技术突破,2f47bc287d4b,1,true,event_signal_detected,"命中事件关键词: 样机; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:样机|industry:科技,机器人,人形机器人,样机|predictability:发布|duration:发布,样机",2,2,2,task1_rules_v1
第一财经,印巴在克什米尔爆发大规模空战 巴基斯坦称使用中国制造战机击落印军战机,2025-05-07 10:05:00,https://example.com/news/air-combat-dup,印巴空战,a5baf15dea73,2,true,event_signal_detected,"命中事件关键词: 产业链|克什米尔|印巴|战机|空战; score=7; threshold=2; rule_version=task1_rules_v1; dimensions=subject:空战,印巴,克什米尔,战机|industry:军工,战机,导弹,无人机,空战|predictability:空战,爆发,击落|duration:空战,击落",7,7,2,task1_rules_v1
上交所,某上市公司2024年年度报告摘要,2025-03-30 21:00:00,https://example.com/report/annual,600000.SH,ee947e0c5459,1,false,routine_disclosure_without_signal,常规披露且无显著事件关键词: 年度报告摘要|常规信息|董事会报告; score=1; threshold=2; rule_version=task1_rules_v1; dimensions=subject:none|industry:none|predictability:none|duration:none,1,1,2,task1_rules_v1
中国政府网/新华社,王毅同欧盟外交与安全政策高级代表卡拉斯通电话,2026-04-03 07:31:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064553.htm,政策/宏观,b623509a257e,1,true,event_signal_detected,"命中事件关键词: 中东|停火|冲突|战事|支持|政策|霍尔木兹; score=8; threshold=2; rule_version=task1_rules_v1; dimensions=subject:冲突,中东,霍尔木兹,战事,停火|industry:none|predictability:冲突,中东,霍尔木兹,战事,升级|duration:冲突,中东,霍尔木兹,停火,战事",8,8,2,task1_rules_v1
中国政府网/央视网,春光正好 各地春日经济呈现新活力,2026-04-02 21:56:00,https://www.gov.cn/yaowen/liebiao/202604/content_7064535.htm,政策/宏观,158678d11cf7,1,true,event_signal_detected,"命中事件关键词: 政策; score=2; threshold=2; rule_version=task1_rules_v1; dimensions=subject:政策|industry:消费,旅游|predictability:政策|duration:政策",2,2,2,task1_rules_v1
