ts_code,company_name,exchange,industry_l1,industry_l2,business_scope,core_products,concept_tags
302132.SZ,中航成飞,SZSE,军工,航空装备,战斗机及航空装备研发制造,歼击机|航空零部件,"[""军工"",""战机"",""航空装备""]"
300581.SZ,晨曦航空,SZSE,军工,无人机,航空机电与无人机相关配套,无人机配套|航空电子,"[""军工"",""无人机"",""航空电子""]"
688543.SH,国科军工,SSE,军工,导弹装备,导弹与弹药装备研发生产,导弹|弹药,"[""军工"",""导弹"",""弹药""]"
300034.SZ,钢研高纳,SZSE,军工,新材料,高温合金与航空发动机材料,高温合金|航空材料,"[""军工"",""新材料"",""航空发动机""]"
300114.SZ,中航电测,SZSE,军工,军工电子,军工测控与传感器,传感器|测控系统,"[""军工"",""传感器"",""军工电子""]"
300750.SZ,宁德时代,SZSE,新能源,储能电池,动力电池与储能系统,储能电池|电池系统,"[""新能源"",""储能"",""电池""]"
002594.SZ,比亚迪,SZSE,新能源,动力电池,新能源汽车与动力电池,新能源汽车|电池,"[""新能源"",""电池"",""储能""]"
688390.SH,固德威,SSE,新能源,储能逆变器,光伏逆变器与储能系统,逆变器|储能系统,"[""新能源"",""储能"",""逆变器""]"
600406.SH,国电南瑞,SSE,新能源,电网设备,电网自动化与调度系统,电网调度|自动化系统,"[""新能源"",""电网"",""智能电网""]"
600089.SH,特变电工,SSE,新能源,输变电设备,输变电设备与新能源业务,变压器|输变电设备,"[""新能源"",""电网"",""输变电""]"
002230.SZ,科大讯飞,SZSE,科技,人工智能,人工智能平台与行业应用,大模型|语音识别,"[""科技"",""AI"",""大模型""]"
002415.SZ,海康威视,SZSE,科技,人工智能,智能物联与视觉感知,视觉感知|AI平台,"[""科技"",""AI"",""视觉""]"
688256.SH,寒武纪,SSE,科技,AI芯片,人工智能芯片设计,AI芯片|加速卡,"[""科技"",""AI"",""算力"",""芯片""]"
301236.SZ,软通动力,SZSE,科技,数字化服务,数字化转型与行业软件,行业软件|数字化服务,"[""科技"",""人工智能"",""软件""]"
600600.SH,青岛啤酒,SSE,消费,食品饮料,啤酒生产与销售,啤酒|饮料,"[""消费"",""食品饮料""]"
600258.SH,首旅酒店,SSE,消费,旅游酒店,酒店运营与旅游服务,酒店|旅游服务,"[""消费"",""旅游"",""酒店""]"
601318.SH,中国平安,SSE,金融,保险,保险与综合金融服务,保险|综合金融,"[""保险"",""消费"",""金融""]"
