event_name,industry_type,title,symbol_or_subject,ts_code,company_name,industry_l1,link_type,final_link_score
机器人相关事件,新能源,4月2日晚间沪深上市公司重大事项公告最新快递,行业/市场新闻,002594.SZ,比亚迪,新能源,direct_match,0.9000
机器人相关事件,科技,前两个月我国工业经济实现良好开局,政策/宏观,688256.SH,寒武纪,科技,industry_match,0.6550
机器人相关事件,新能源,起步有力 开局良好——透视2026年中国经济开年表现,政策/宏观,300750.SZ,宁德时代,新能源,industry_match,0.6550
第十四届全国人民代表大会财政经济委员会关于中华人,科技,第十四届全国人民代表大会财政经济委员会关于中华人民共和国国民经济和社会发展第十五个五年规划纲要草案的审查结果报告,政策/宏观,688256.SH,寒武纪,科技,industry_match,0.6550
机器人相关事件,科技,国际人士：创新中国活力无限,政策/宏观,688256.SH,寒武纪,科技,industry_match,0.6550
机器人相关事件,科技,世界从创新中国看到发展“主动性”——“十五五”开局之年·中国信心与世界机遇,政策/宏观,688256.SH,寒武纪,科技,industry_match,0.6550
关于推动低空保险高质量发展的实施意见(发改低空〔,消费,关于推动低空保险高质量发展的实施意见(发改低空〔2026〕123号),政策/通知,600258.SH,首旅酒店,消费,industry_match,0.6550
关于加快招标投标领域人工智能推广应用的实施意见(,科技,关于加快招标投标领域人工智能推广应用的实施意见(发改法规〔2026〕195号),政策/通知,688256.SH,寒武纪,科技,industry_match,0.6550
储能相关事件,新能源,关于完善发电侧容量电价机制的通知(发改价格〔2026〕114号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6550
储能相关事件,新能源,关于促进电网高质量发展的指导意见(发改能源〔2025〕1710号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6550
储能相关事件,新能源,关于促进光热发电规模化发展的若干意见(发改能源〔2025〕1645号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6550
关于加强数据要素学科专业建设和数字人才队伍建设的,科技,关于加强数据要素学科专业建设和数字人才队伍建设的意见(发改数据〔2025〕1425号),政策/通知,688256.SH,寒武纪,科技,industry_match,0.6550
关于加快建设现代化国有林场的意见(发改农经〔20,军工,关于加快建设现代化国有林场的意见(发改农经〔2025〕1343号),政策/通知,302132.SZ,中航成飞,军工,industry_match,0.6550
凌晨大逆转！伊朗：发动导弹袭击！霍尔木兹海峡传来,军工,凌晨大逆转！伊朗：发动导弹袭击！霍尔木兹海峡传来最新消息,行业/市场新闻,302132.SZ,中航成飞,军工,industry_match,0.6550
机器人相关事件,新能源,4月2日晚间沪深上市公司重大事项公告最新快递,行业/市场新闻,300750.SZ,宁德时代,新能源,industry_match,0.6550
机器人相关事件,新能源,4月2日晚间沪深上市公司重大事项公告最新快递,行业/市场新闻,688390.SH,固德威,新能源,industry_match,0.6550
中信证券：算力涨价扩散 关注一季报超预期三条线索,科技,中信证券：算力涨价扩散 关注一季报超预期三条线索,行业/市场新闻,688256.SH,寒武纪,科技,industry_match,0.6550
政策利好与量产预期共振 CPO概念逆市大爆发！1,科技,政策利好与量产预期共振 CPO概念逆市大爆发！11股业绩有望翻倍增长,行业/市场新闻,688256.SH,寒武纪,科技,industry_match,0.6550
超越Meta和特斯拉！SpaceX据悉将IPO目,科技,超越Meta和特斯拉！SpaceX据悉将IPO目标估值提升至逾2万亿美元,行业/市场新闻,688256.SH,寒武纪,科技,industry_match,0.6550
价格同比涨超400%！光纤概念集体强势 两龙头年,科技,价格同比涨超400%！光纤概念集体强势 两龙头年内已翻倍,行业/市场新闻,688256.SH,寒武纪,科技,industry_match,0.6550
SpaceX据悉寻求以逾2万亿美元估值上市,科技,SpaceX据悉寻求以逾2万亿美元估值上市,行业/股市快讯,688256.SH,寒武纪,科技,industry_match,0.6550
战火烧向科技公司！亚马逊中东云计算中心遭袭 更多,科技,战火烧向科技公司！亚马逊中东云计算中心遭袭 更多基础设施成为目标,行业/市场新闻,688256.SH,寒武纪,科技,industry_match,0.6550
1至2月我国规模以上轻工业增加值同比增长7%,消费,1至2月我国规模以上轻工业增加值同比增长7%,政策/宏观,600258.SH,首旅酒店,消费,industry_match,0.6300
第六届消博会参展国家和地区展团数量再创新高,消费,第六届消博会参展国家和地区展团数量再创新高,政策/宏观,600258.SH,首旅酒店,消费,industry_match,0.6300
中共中央政治局委员、外交部长王毅就中国外交政策和,消费,中共中央政治局委员、外交部长王毅就中国外交政策和对外关系回答中外记者提问,政策/宏观,600258.SH,首旅酒店,消费,industry_match,0.6300
关于2026年实施大规模设备更新和消费品以旧换新,新能源,关于2026年实施大规模设备更新和消费品以旧换新政策的通知(发改环资〔2025〕1745号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6300
关于印发《国家级零碳园区建设名单(第一批)》的通,新能源,关于印发《国家级零碳园区建设名单(第一批)》的通知(发改办环资〔2025〕1082号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6300
关于优化集中式新能源发电企业市场报价的通知(试行,新能源,关于优化集中式新能源发电企业市场报价的通知(试行)(发改能源〔2025〕1476号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6300
关于印发第二轮国家生态产品价值实现机制试点名单的,新能源,关于印发第二轮国家生态产品价值实现机制试点名单的通知(发改办环资〔2025〕998号),政策/通知,300750.SZ,宁德时代,新能源,industry_match,0.6300
中原证券：4月A股市场或以震荡为主 聚焦红利防御,新能源,中原证券：4月A股市场或以震荡为主 聚焦红利防御与能源安全主线,行业/市场新闻,300750.SZ,宁德时代,新能源,industry_match,0.6300
