source,title,content,publish_time,url,symbol_or_subject
工信部/政策文件,工业和信息化部党组举办树立和践行正确政绩观学习教育辅导报告会暨读书班开班式,工业和信息化部党组举办树立和践行正确政绩观学习教育辅导报告会暨读书班开班式,2026-04-03,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_28097025b4fe4da695b95ed90944a189.html,政策/产业
工信部/政策文件,工业和信息化部负责人会见苹果、高通、SK海力士、大众汽车、梅赛德斯-奔驰、西门子等跨国企业和商协会负责人,工业和信息化部负责人会见苹果、高通、SK海力士、大众汽车、梅赛德斯-奔驰、西门子等跨国企业和商协会负责人,2026-04-03,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_af1a5077c5eb419c9306f48a4ce05075.html,政策/产业
工信部/政策文件,工业和信息化部机关开展2026年春季义务植树活动,工业和信息化部机关开展2026年春季义务植树活动,2026-04-03,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_718df80877844bcdb402dc59fd32f3ca.html,政策/产业
工信部/政策文件,工业和信息化部举行《节能装备高质量发展实施方案（2026—2028年）》新闻发布会,工业和信息化部举行《节能装备高质量发展实施方案（2026—2028年）》新闻发布会,2026-04-03,http://www.miit.gov.cn/xwfb/xwfbh/bxwfbh/art/2026/art_4e9257192fe743ca84c33ffc78e94e0c.html,政策/产业
工信部/政策文件,部分省份一季度工业经济运行及“十五五”规划编制工作座谈会在青岛召开,部分省份一季度工业经济运行及“十五五”规划编制工作座谈会在青岛召开,2026-04-03,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_240c44884ff744baab73ee433b8a0055.html,政策/产业
工信部/政策文件,李乐成调研信息技术创新应用和未来产业发展研究工作,李乐成调研信息技术创新应用和未来产业发展研究工作,2026-04-03,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_608586e84247458286513f699019c510.html,政策/产业
工信部/政策文件,三部门关于印发《标准引领纺织工业优化升级行动方案（2026—2028年）》的通知,三部门关于印发《标准引领纺织工业优化升级行动方案（2026—2028年）》的通知,2026-04-03,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_017a5c831bb540289e11abc84d470e4e.html,政策/产业
工信部/政策文件,工业和信息化部等九部门关于印发《推动物联网产业创新发展行动方案（2026—2028年）》的通知,工业和信息化部等九部门关于印发《推动物联网产业创新发展行动方案（2026—2028年）》的通知,2026-04-03,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_9d8c75f8355a4179abad5a6296273dd2.html,政策/产业
工信部/政策文件,《节能装备高质量发展实施方案（2026—2028年）》,《节能装备高质量发展实施方案（2026—2028年）》,2026-04-02,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_a3250eaa656845149b12615070009204.html,政策/产业
工信部/政策文件,《道路机动车辆生产企业及产品》（第404批）、《享受车船税减免优惠的节约能源 使用新能源汽车车型目录》（第八十三批）、《减免车辆购置税的新能源汽车车型目录》（第二十八批）,《道路机动车辆生产企业及产品》（第404批）、《享受车船税减免优惠的节约能源 使用新能源汽车车型目录》（第八十三批）、《减免车辆购置税的新能源汽车车型目录》（第二十八批）,2026-03-27,http://www.miit.gov.cn/zwgk/zcwj/wjfb/gg/art/2026/art_f11332e9ca5448ffabe9386255ee2657.html,政策/产业
工信部/政策文件,三部门关于开展氢能综合应用试点工作的通知,三部门关于开展氢能综合应用试点工作的通知,2026-04-02,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_d2957277c4684eb59c0c0de01af59434.html,政策/产业
工信部/政策文件,​工业和信息化部等六部门关于促进光伏组件综合利用的指导意见,​工业和信息化部等六部门关于促进光伏组件综合利用的指导意见,2026-04-01,http://www.miit.gov.cn/zwgk/zcwj/wjfb/yj/art/2026/art_95cd611e3c664dfc96cd76ace1aa24d7.html,政策/产业
工信部/政策文件,工业和信息化部等五部门关于印发《茶产业提质升级指导意见（2026—2030年）》的通知,工业和信息化部等五部门关于印发《茶产业提质升级指导意见（2026—2030年）》的通知,2026-04-03,http://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2026/art_c0d97b91be1b471686d669d0300cd25a.html,政策/产业
工信部/政策文件,工业和信息化部就推进工业数据筑基行动、加速工业园区数字化转型等答记者问,工业和信息化部就推进工业数据筑基行动、加速工业园区数字化转型等答记者问,2026-03-25,https://www.miit.gov.cn/xwfb/xwfbh/gxbxwfbh/art/2026/art_e79644b71a3e4f1a9f716babb6d2359b.html,政策/产业
工信部/政策文件,如何推进重点产业知识产权强链增效？如何建立常态化专利转化运用长效机制？工业和信息化部这样部署,如何推进重点产业知识产权强链增效？如何建立常态化专利转化运用长效机制？工业和信息化部这样部署,2026-03-25,https://www.miit.gov.cn/xwfb/xwfbh/gxbxwfbh/art/2026/art_609a668f10594ec9a9b1d5abbf515464.html,政策/产业
工信部/政策文件,工业和信息化部举行《节能装备高质量发展实施方案（2026—2028年）》新闻发布会,工业和信息化部举行《节能装备高质量发展实施方案（2026—2028年）》新闻发布会,2026-04-03,https://www.miit.gov.cn/xwfb/xwfbh/bxwfbh/art/2026/art_4e9257192fe743ca84c33ffc78e94e0c.html,政策/产业
工信部/政策文件,工业和信息化部：2025年工业和信息化发展主要目标任务顺利完成,工业和信息化部：2025年工业和信息化发展主要目标任务顺利完成,2026-04-01,http://www.miit.gov.cn/xwfb/bldhd/art/2026/art_4ba01aa6d2f54ced8ba3490ea4fb52c4.html,政策/产业
