source,title,content,publish_time,url,symbol_or_subject
中国政府网/新华社,王毅同欧盟外交与安全政策高级代表卡拉斯通电话,新华社北京4月2日电 中共中央政治局委员、外交部长王毅2日应约同欧盟外交与安全政策高级代表卡拉斯通电话。 卡拉斯介绍了对中东局势的看法，赞赏中方为缓和局势积极开展外交斡旋，包括中国和巴基斯坦最新发表的关于恢复海湾和中东地区和平稳定的五点倡议。欧方没有参与这场战事，但遭到波及影响，希望尽快推动战事降级，恢复对话谈判。欧方支持联合国开展人道主义行动，保护平民和非军事目标安全，也将全力确保霍尔木兹海峡开放通航。 王毅表示，当前国际形势动荡不安，中欧加强沟通交流，维护以联合国为核心的国际体系和以国际法为基础的国际秩序，这是双方的共同责任。王毅阐述了对中东局势的原则立场，表示中巴五点倡议反映了广泛国际共识，核心是停止敌对行动、尽快开启和谈、确保非军事目标安全、确保航道安全、确保联合国宪章首要地位。停火止战是国际社会强烈呼声，也是解决霍尔木兹海峡安全通航的治本之策。各方应为此汇集更多共识，营造必要条件。联合国安理会的行动应着眼于缓局降温，而不是给未经授权的军事行动披上合法外衣，更不能进一步激化矛盾，导致冲突升级。中方愿同欧方保持沟通合作，推动尽早止战，恢复地区和平。 双方还就中欧关系交换意见。王毅表示，中国的发展是欧洲的机遇，欧洲面临的挑战不是来自中国，保护主义提升不了竞争力，与中国脱钩就是与机遇脱钩。希望欧方树立全面、客观的对华认知，维护好中欧关系正确发展方向。卡拉斯表示，欧方视中国为重要合作伙伴，不寻求同中方脱钩，期待双方保持对话沟通。,2026-04-03 07:31,https://www.gov.cn/yaowen/liebiao/202604/content_7064553.htm,政策/宏观
中国政府网/央视网,春光正好 各地春日经济呈现新活力,春光正好，正是踏青赏花时。各地适时推出赏花游线路、春假政策等，春日经济呈现新活力。 赏花“流量”拉动消费“增量”。上海普陀区借助春日花海，推出“周周有戏”的公园露天剧场，让人们在花海中搭帐篷、看演出，带动周边餐厅、咖啡厅等商业点位客流火爆。河南洛阳牡丹竞相盛开，市区主要牡丹观赏园串连起来，开展实景演艺、古风巡游等活动，丰富游客体验。山东冠县万亩梨园迎来盛花期，梨花层层叠叠、如云似雪。当地推出“赏花+”文旅模式，预计今年接待游客20多万人次。在青海循化县积石镇黄河岸边，杏花迎春绽放，人们尽享高原春日美景，赏花游让村民在家门口实现增收。这个花季，积石镇杏花林已接待游客超过13万人次，让“赏花经济”带动富民兴村。 4月1日—3日，全国多地开始实施首个中小学春假政策，与即将来临的清明假期叠加，形成一个六天的小长假，让春日旅游市场更加火热。四川推出116条春假研学线路，涵盖三国蜀道、熊猫家园等8大主题，贴合不同年龄段学生的成长规律与认知特点，让春假更有趣味。安徽100多家A级景区面向青少年推出免票政策，宣城文旅部门为吸引长三角地区学生，对在读的18周岁以下在校生免票。江苏南京江北新区针对双职工家庭，推出“托管式游学”，12人成团，配备专业带队老师与安全员，全程负责学生出行、用餐、学习及安全看护。贵州中小学、幼儿园全部实施春假，部分景区同步推出免票政策与特色研学产品，让学生在行走中亲近自然、感悟文化。,2026-04-02 21:56,https://www.gov.cn/yaowen/liebiao/202604/content_7064535.htm,政策/宏观
中国政府网/新华社,产业发展开创新局面——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之三,新华社北京4月2日电 题：产业发展开创新局面——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之三 新华社记者 周圆 产业是发展新质生产力的重要载体。今年全国两会期间，习近平总书记在参加江苏代表团审议时强调，在优化提升传统产业、培育壮大新兴产业、超前布局未来产业上开创新局面。 习近平总书记始终将发展新质生产力置于建设现代化产业体系、推动高质量发展的大背景下统筹考量、系统部署、一体推进：2023年首提新质生产力，明确“整合科技创新资源，引领发展战略性新兴产业和未来产业，加快形成新质生产力”；此后，在集体学习、重要会议、地方考察等重要场合围绕“因地制宜发展新质生产力”进一步作阐释、提要求。 刚刚过去的“十四五”，我国新质生产力稳步成长，规模以上高技术制造业增加值年均增长9.2%，人形机器人亮出“功夫模式”、新能源汽车跑出“加速度”。一项项创新技术走出实验室，发展成中国经济的名片，背后正是加速构建的现代化产业体系提供的广阔应用场景、市场空间。 “十五五”时期，建设现代化产业体系、实现产业体系整体跃升，是重要战略任务。面对新形势、新任务，更需以习近平总书记关于发展新质生产力重要论述为指引，持之以恒、精准发力。 在我国产业体系中，传统产业是家底、是优势，是保持经济增长的基本盘，也是接续新产业的基础、形成新质态的关键。 传统产业要不要发展新质生产力？针对一些地方和企业的困惑，习近平总书记明确指出：“发展新质生产力不是要忽视、放弃传统产业”“通过传统产业改造升级，也能发展新质生产力”。 湖南嘉禾推动铸锻造产业技术迭代，产品从曾经的“按吨卖”迈向高端配件市场；广东佛山升级陶瓷制造工艺，研发出数字釉料、智能烧制等新技术；山东日照钢铁产业通过数字化转型，一些企业关键工序数控化率已超90%，依托传统产业培育的新质生产力正拔节生长…… 近几年，越来越多鲜活的事实表明，传统产业并非落后产能的代名词，高度重视传统产业改造升级，不仅能在更新旧动能中迸发新活力，也为孕育新质生产力、打造新产业新赛道提供必要支撑。 今年政府工作报告将“优化提升传统产业”摆在“加紧培育壮大新动能”工作首位。持续推进重点产业提质升级、新部署一批重大技术改造升级项目、安排2000亿元超长期特别国债资金支持大规模设备更新……一项项部署，正推动更多传统产业“老树发新芽”。 新兴产业是加快形成新质生产力的关键抓手。推动战略性新兴产业发展，有利于快速形成规模化产业集群，发挥“一业带百业”的乘数效应，带动上下游产业协同发展，为高质量发展注入强劲动力。 国家发展改革委数据显示，集成电路、航空航天、生物医药、低空经济、新型储能、智能机器人等六大新兴支柱产业相关产值在2025年已接近6万亿元，预计到2030年有望扩大到10万亿元以上。 “十五五”规划纲要明确“发展壮大新兴产业”，并作出一系列具体安排：“因地制宜建设各具特色、优势互补的战略性新兴产业集群”“实施新技术新产品新场景大规模应用示范行动”…… 广东着手做大做强新能源、新材料、航空航天、低空经济、生物制造等新兴产业；上海加速eVTOL（电动垂直起降航空器）、商业火箭等创新产品突破产业规模化发展瓶颈……记者近期在全国多地看到，“十五五”开局之年，各地正以时不我待的紧迫感抢抓新机遇，新兴产业发展高地不断隆起。 新一轮科技革命和产业变革加速演进，作为新质生产力的重要载体，发展未来产业是应对全球产业竞争的主动选择，塑造长远发展新优势的关键支点。 今年以来，习近平总书记多次论及未来产业发展，强调“要站在推进强国建设、民族复兴伟业的战略高度，立足客观条件，发挥比较优势，坚持稳中求进、梯度培育，推动我国未来产业发展不断取得新突破”。 “构建未来产业全链条培育体系”“建立未来产业投入增长和风险分担机制”“布局一批国家未来产业研究院和概念验证中心”……“十五五”规划纲要围绕“前瞻布局未来产业”作出系统部署。 国内首个聚焦具身智能数据集开源社区成立、全球首款侵入式脑机接口医疗器械获批上市、氢能综合应用试点启动……这个春天，我国产业向“新”势能持续汇聚。 培育新动能和更新旧动能是发展新质生产力的一体两面。推动传统产业升级、培育壮大新兴产业和未来产业，不是非此即彼的关系。 工业互联网嵌入传统制造生产线，驱动工厂数智化转型；量子精密测量技术在高端装备领域落地，解决行业痛点的同时，也加速自身商业化；合成生物学与传统化工结合，催生绿色低碳新工艺…… 实践表明，传统产业、新兴产业、未来产业是梯次接续、双向赋能的有机整体。既要看到传统产业向新的潜能、空间，以及对新产业的托举、支撑，也要发挥新产业在落子未来中的引领、带动作用。统筹推进、协同发力，才能更好激发新动能，更大范围凝聚起发展合力。 正如习近平总书记强调的，“因地制宜加快发展新质生产力”“要防止一哄而上、泡沫化，也不要搞一种模式”，不同地区的资源禀赋、产业基础和科研条件存在差异，不同产业对发展条件要求也不尽相同。各地要根据自身条件统筹考量，有选择性地推动新产业、新模式、新动能发展，做到既巩固已有优势，又开辟新的增长空间。 创新聚势能，产业开新局。让我们奋楫争先，沿着习近平总书记指引的方向，夯实传统产业、壮大新兴产业、谋划未来产业，加快形成新质生产力，不断拓宽产业发展空间，为中国式现代化奠定更加坚实的物质技术基础。,2026-04-02 21:44,https://www.gov.cn/yaowen/liebiao/202604/content_7064531.htm,政策/宏观
中国政府网/新华社,国务院办公厅印发《关于建立企业信用状况综合评价体系的实施方案》,新华社北京4月2日电 日前，国务院办公厅印发 《关于建立企业信用状况综合评价体系的实施方案》 （以下简称《实施方案》）。 《实施方案》指出，要建立企业信用状况综合评价体系制度框架，更好发挥公共信用评价结果在企业信用状况综合评价中的基础性作用，推动公共信用评价和市场化信用评价相互融合，逐步形成统一的企业信用状况综合评价体系。 《实施方案》要求，完善公共信用评价体系，统一公共信用评价规则、行业信用评价管理、公共信用评价结果公示渠道，健全行业信用评价协同机制，规范发展市场化信用评价，加快推进公共信用评价与市场化信用评价融合应用，更好发挥信用评价对中小微企业融资的支持作用，完善信用修复后的评价更新调整机制，畅通异议申诉处理渠道，落实信用评价管理职责。 《实施方案》强调，各地方各有关部门要抓好贯彻落实，强化数据共享支撑，优化信用评价流程，规范信用评价应用，推动建立健全企业信用评价相关法律法规制度体系，做好立改废释工作，营造公平竞争市场环境，助力全国统一大市场建设。,2026-04-02 17:04,https://www.gov.cn/yaowen/liebiao/202604/content_7064518.htm,政策/宏观
中国政府网/新华社,李强在四川调研时强调：着力推进新型电网建设 加快能源结构调整优化 为经济社会高质量发展提供有力支撑,李强在四川调研时强调 着力推进新型电网建设 加快能源结构调整优化 为经济社会高质量发展提供有力支撑 新华社成都4月1日电（记者 邹伟）中共中央政治局常委、国务院总理李强3月30日至4月1日在四川调研。他强调，要深入贯彻落实习近平总书记关于绿色发展和建设能源强国的重要论述，实施好能源安全新战略，坚持创新引领，发挥资源禀赋优势，持续扩大绿电供给，着力推进新型电网建设，加快能源结构调整优化，为经济社会高质量发展提供有力支撑。 3月30日至4月1日，中共中央政治局常委、国务院总理李强在四川调研。这是3月30日，李强在通威全球创新研发中心听取光伏技术攻关介绍，进入车间察看电池组件研制情况。新华社记者 黄敬文 摄 李强先后来到成都市、德阳市，考察新能源开发和相关装备制造企业等。在通威全球创新研发中心，李强听取光伏技术攻关介绍，进入车间察看电池组件研制情况。他说，近年来，光伏技术的进步有效提高了太阳能利用水平。要大力支持企业探索创新，加大研发投入、努力突破关键技术瓶颈，打通各类应用场景，加快新技术规模化应用。在雅砻江流域水电开发有限公司，李强了解水风光一体化基地开发等情况，听取四川省新型电网建设汇报。他指出，新型电网建设对于保障能源安全、促进绿色发展具有重要意义。要积极探索新架构、新技术、新服务，完善网络建设，提升系统协同和调节能力，强化多元需求保障，打造安全可靠、绿色低碳、坚强韧性、智能灵活的新型电网。四川是我国重要清洁能源基地，要推动水风光氢天然气等多能互补，在清洁能源开发利用和新型电网建设方面走在前列，积极推进新型能源体系建设，同时更好带动相关产业发展。在国机重型装备集团股份有限公司和东方电气集团东方电机有限公司，李强了解企业最新科研成果，察看核电、水电等装备及核心零部件。他勉励企业瞄准科技前沿和市场需求，推动人工智能等先进技术与制造业深度融合，不断在清洁能源装备制造等领域取得新突破，更好服务我国新能源产业发展和能源转型。 3月30日至4月1日，中共中央政治局常委、国务院总理李强在四川调研。这是3月31日，李强在雅砻江流域水电开发有限公司了解水风光一体化基地开发等情况。新华社记者 黄敬文 摄 李强来到岷江紫坪铺水利枢纽工程，察看紫坪铺水库库区，了解四川省水利建设等情况，随后考察了都江堰水利工程。李强说，治水是利在千秋的事业。要传承发展治水智慧，加快水利设施现代化，更好发挥防洪、灌溉、供水、发电、生态等综合功能，以治水兴水的新成效造福于民。在广汉市“天府粮仓”万亩小麦单产提升示范区，李强走进田间察看小麦生长、水稻育秧、无人机作业，与农技专家、种粮农户交流。李强说，当前正值春耕春播，要紧抓农时做好农资供应、技术服务等工作，加大智慧农机等新技术新装备应用，高标准抓好田间管理。要发挥种粮大户带动作用，创新农业经营方式，落实好惠农政策，强化种粮收益保障。要在土地改良、良种培育等方面持续用力，加快农业生产数智化转型，持续提升粮食安全保障能力。 吴政隆陪同调研。,2026-04-01 19:44,https://www.gov.cn/yaowen/liebiao/202604/content_7064414.htm,政策/宏观
中国政府网/新华社,"税收数据显示：今年我国经济发展开局良好、向""新""发展",新华社北京4月1日电（记者 申铖、刘开雄）记者4月1日从国家税务总局举行的新闻发布会上获悉，今年以来的税收数据显示，我国经济发展开局良好、运行稳健，向“新”发展的脉动愈发强劲。 制造业发展量稳质升，“压舱石”作用进一步凸显。发票数据显示，今年1月1日至3月25日，制造业销售收入同比增长5.4%，占全国企业销售收入比重达29.2%。特别是装备制造业销售收入同比增长6.3%，占制造业销售收入比重达46.5%。 新动能产业稳步发展，科技创新动能持续增强。发票数据显示，1月1日至3月25日，高技术产业销售收入同比增长14.6%，其中高技术制造业、高技术服务业销售收入同比分别增长12.7%和15.8%；在人工智能、算力中心等需求拉动下，集成电路设计、集成电路制造销售收入同比分别增长48.9%和40.7%。 能源结构持续优化，绿色转型不断加快。发票数据显示，1月1日至3月25日，生态环保相关产业加快发展，生态保护和环境治理业销售收入同比增长9.6%；清洁能源发电销售收入增长较快，占电力生产销售收入比重已达36.3%，较去年同期提高4.5个百分点。 服务消费活力释放，假日经济拉动效应明显。发票数据显示，1月1日至3月25日，服务消费保持较快增长，民宿服务、居民服务业销售收入同比分别增长15.3%和7.3%；旅行社及相关服务业、文体娱乐业销售收入同比分别增长14.3%和14.1%。 企业采购设备增速较快，设备投资活力增强。发票数据显示，1月1日至3月25日，反映企业设备更新的企业采购机械设备金额同比增长8.4%。其中，信息技术服务业、科研技术服务业采购机械设备金额同比分别增长15.8%和27.2%。 省际贸易稳步增长，全国统一大市场建设持续推进。发票数据显示，1月1日至3月25日，全国省际贸易销售额同比增长4.3%，占全国销售比重已达41%。同时，交通运输物流业省际销售额同比增长6%。,2026-04-01 17:24,https://www.gov.cn/lianbo/202604/content_7064408.htm,政策/宏观
中国政府网/新华社,1至2月我国规模以上轻工业增加值同比增长7%,新华社北京3月31日电（记者 王悦阳）记者3月31日从中国轻工业联合会获悉，2026年1至2月，我国规模以上轻工业增加值同比增长7%，实现营业收入3.6万亿元，同比增长6.8%。 其中，部分轻工行业增加值较快增长。塑料家具、电池制造业增加值增速超过20%，塑料制品业增加值增长9.1%，家用电器制造业增加值增长5.6%。农副食品加工业增加值增长6.1%，食品制造业增加值增长10.6%，酒、饮料和精制茶制造业增加值增长4.3%。 此外，市场规模稳中有升。2026年1至2月，轻工11类商品零售额15306亿元，同比增长9.3%。轻工商品零售额占社会消费品零售总额的比重为17.8%，较上年同期提高0.7个百分点。,2026-04-01 07:30,https://www.gov.cn/yaowen/liebiao/202604/content_7064351.htm,政策/宏观
中国政府网/新华社,科技创新实现新突破——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之一,新华社北京3月31日电 题：科技创新实现新突破——学习贯彻习近平总书记全国两会期间关于发展新质生产力重要论述系列述评之一 新华社记者 胡喆 科技创新是发展新质生产力的核心要素，加强原始创新和关键核心技术攻关，是抢占科技制高点、实现高水平科技自立自强的根本所在。今年全国两会期间，习近平总书记在参加江苏代表团审议时强调，要一体推进教育科技人才发展，力争在加强原始创新和关键核心技术攻关、抢占科技制高点上实现新突破。 这一重要论述，立足“十五五”开局之年的战略方位，紧扣新一轮科技革命和产业变革时代脉搏，为我们以科技创新引领高质量发展、加快建设科技强国提供了根本遵循。 习近平总书记反复强调，关键核心技术是要不来、买不来、讨不来的。党的十八大以来，从“跟跑”到“并跑”再到部分领域“领跑”，我国科技创新事业的每一步跨越、新质生产力的每一次跃升，都离不开对原始创新的执着坚守和对关键核心技术的全力攻坚。 过去一年，我国科技发展交出亮眼答卷，全球创新指数排名跃升至第10位，全社会研发投入超过3.92万亿元，基础研究投入接近2800亿元、占比创历史新高。一系列历史性成就与历史性变革，既是新型举国体制集中力量办大事的生动实践，更是坚持原始创新、啃下“卡脖子”硬骨头的有力证明。 原始创新是科技创新的“源头活水”，决定着新质生产力发展的根基与后劲。 习近平总书记强调，要把原始创新能力提升摆在更加突出的位置，努力实现更多“从0到1”的突破。 嫦娥六号带回月背样品，揭示月球演化新奥秘；“人造太阳”实现亿度高温、长脉冲运行，可控核聚变研究迈入国际第一梯队；国产大模型实现突破，以低成本路径跻身全球前列；C919大飞机商业运营、“奋斗者”号深潜万米…… 从基础研究到前沿突破，从大国重器到产业升级，一系列标志性成果印证着自主创新之路的坚实步伐：原始创新不是对现有技术的修修补补，而是从科学原理和基础理论出发的根本性发现与创造，是一切颠覆性技术、引领性产业的源头与根基。 在深渊海沟最深处发现繁盛的化能合成生物群落，极大拓展了人类对生命极限的理解；全功能二维半导体/硅基混合架构异质集成闪存芯片，为原子级芯片集成提供了新范式……刚刚公布的2025年度“中国科学十大进展”，昭示着新时代的中国正在基础理论、底层架构、前沿方向上进行超前布局和持续投入，原创性、颠覆性科技创新成果竞相涌现。 关键核心技术攻关是打通创新链、保障产业链供应链安全的关键一环。 习近平总书记指出，只有把关键核心技术掌握在自己手中，才能从根本上保障国家经济安全、国防安全和其他安全。 全球科技竞争日趋激烈，面对外部技术封锁与内部发展需求，必须聚焦战略必争领域和产业链供应链薄弱环节，采取超常规举措，全链条推动集成电路、工业母机、高端仪器、基础软件、先进材料、生物制造等重点领域关键核心技术攻关取得决定性突破。 近日，我国科研团队依托国家重大科技基础设施——散裂中子源，实现三种核心医用阿尔法同位素单批次毫居里级的同时提取，不仅攻克量产难关，更打破我国肿瘤治疗前沿核药长期依赖进口的局面。 从钍基熔盐实验堆实现燃料转换到基因编辑异种器官移植取得临床进展，从量子信息领域持续突破到脑机接口技术造福病患，越来越多的基础研究成果走出实验室、转化为现实生产力，为产业升级注入源头动能。 实践证明，只有筑牢基础研究根基，敢于挑战最前沿、最根本的科学问题，才能摆脱路径依赖，在科技竞争中占据主动。 深化科技体制改革，为原始创新与技术攻关破除障碍、激发活力。 习近平总书记指出，要深化经济体制、科技体制等改革，着力打通束缚新质生产力发展的堵点卡点。 近年来，我国持续优化科研管理、评价、激励机制，赋予科研人员更大经费使用自主权，鼓励敢闯敢试、宽容失败；支持企业牵头组建创新联合体，强化企业创新主体地位，推动创新链与产业链深度融合。 从科研经费管理“放管服”到科技成果转化激励政策落地，从知识产权保护强化到科技金融服务完善，一系列改革举措让创新活力充分涌流，让更多科研人员心无旁骛搞研究、更多企业敢于投入搞创新。 发展新质生产力离不开抢占科技制高点的战略支撑。 今年政府工作报告明确提出，“发挥新型举国体制优势，全链条推进关键核心技术攻关”“强化战略前沿领域布局”“继续提高基础研究投入比重”。 从统筹国家战略科技力量建设，到打造世界级科技创新策源地；从支持企业牵头组建创新联合体，到统筹推进教育、科技、人才一体化发展，一系列部署既立足当下破解难题，更着眼长远抢占未来制高点。 当前，新一轮科技革命和产业变革加速演进，我们必须以习近平总书记重要论述为指引，坚持“四个面向”，把原始创新摆在更加突出位置，持续加大基础研究投入；聚焦国家战略需求与产业痛点，集中力量打好关键核心技术攻坚战，加快突破一批“卡脖子”技术；深化科技体制改革，改善科技创新生态，让各类创新要素充分涌流、高效配置；强化企业创新主体地位，推进产学研深度融合，让更多原创成果转化为产业优势、发展胜势。 科技兴则民族兴，科技强则国家强。 在以中国式现代化全面推进强国建设、民族复兴伟业的新征程上，“十五五”规划纲要启动实施的号角已然吹响，科技创新的目标和路径愈加清晰，我们要以只争朝夕、时不我待的紧迫感，在原始创新上深耕不辍，在技术攻关上勇毅前行，不断抢占科技制高点，以高水平科技自立自强，为发展新质生产力、推动高质量发展提供坚实支撑，奋力谱写科技强国建设的崭新篇章！,2026-04-01 07:30,https://www.gov.cn/yaowen/liebiao/202604/content_7064349.htm,政策/宏观
中国政府网/央视网,科技赋能 让春耕春管更高效,眼下，春耕正忙，各地以科技赋能，让春耕春管更高效。 随着气温升高，黄淮海冬小麦进入拔节关键期。河北3300多万亩冬小麦苗情形势持续向好，目前一二类壮苗占比达87.3%，较冬前提升了37%。在成安县，自走式农业灌溉机穿梭在田埂间，依托北斗卫星定位系统，实现了按需供水、精准喷灌。在安徽淮南，去年秋冬季受到了持续降雨和干旱影响，当地通过更换品种、应用种子包衣技术等，科技赋能为今年夏粮丰收打下坚实基础。 甘肃冬小麦陆续返青，今年落实冬小麦播种面积780.1万亩。在庆阳西峰区，无人机在进行飞防作业，专业技术人员指导农户追施化肥、防治病虫害等，加强科学管理。在青海民和县，今年新推广的双垄四行膜侧播种一体机，作业更精准、效率翻倍，更加适用高原旱区作业。 南方水稻插秧育秧正全面展开。广东1300万亩早稻插秧已超四成。在鹤山市昆阳村5000多亩水稻高产示范田里，插秧机在行进过程中，通过侧深施肥技术同步完成施肥作业，不但提高了肥料利用率，也让秧苗分布更加均匀紧凑。广西早稻面积预计稳定在1200万亩以上，在玉林北流市，今年刚刚使用的新型抛秧机，一次可抛14兜秧苗，效率提高。湖北育秧进度过半，在荆州松滋市，当地有集中育秧工厂22家，还配套建设了智能温室，里面的物联网温控、水肥一体化等设备，让管理更精细化、智能化，助力春耕生产。,2026-03-31 22:41,https://www.gov.cn/yaowen/liebiao/202603/content_7064339.htm,政策/宏观
中国政府网/央视网,今年前两个月轻工业经济运行起步稳健,中国轻工业联合会最新数据显示，今年前2个月规模以上轻工业增加值同比增长7.0%，较上年末加快1.7个百分点。91种主要轻工产品中69种产量实现增长，增长面达75.8%，塑料家具、电池制造业增加值增速超20%。 在消费市场方面，政策效应持续释放。前2个月轻工11类商品零售额超1.5万亿元，同比增长9.3%；消费品以旧换新政策扎实推进，累计带动销售额3232.6亿元，高能效家电、智能眼镜等产品销售表现亮眼。轻工9个重点行业中5个实现投资增长，农副食品加工、皮革、造纸投资增速超10%。 出口结构持续优化。22个出口大类行业中多数实现增长，电池及电池零件出口同比增长42.6%，出口市场活力显著提升。,2026-03-31 22:38,https://www.gov.cn/yaowen/liebiao/202603/content_7064334.htm,政策/宏观
